"GeneID","Female1","Female2","Female3","Female4","Labium1","Labium2","Labium3","Labium4","Male1","Male2","Male3","Male4"
"gene15740",52.865847958802,131.760737551043,113.747667119557,32.5241930122996,31.875593900768,20.7848585298213,25.8000023857524,61.2356626573502,0,0,155.310325951363,0
"gene15741",22.5886251936156,0,62.3925133360223,86.793046681879,29.9139555167481,34.6479670020701,23.6313418078556,25.4293854379084,0,63.0707680421399,5.32565350678176,0
"gene15742",342.654848112626,380.766649576902,318.91961382586,202.703113430987,223.610505935093,266.532494083198,249.924826260408,250.722475938893,3.27390599287998,0,0,534.827906664294
"gene15743",249.001068066062,267.1010250244,254.79840229353,43.7118501679447,146.539602352664,127.147308460712,139.168690073729,130.617236233598,352.830101761791,605.060385658746,144.097151871969,63.0172648690918
"gene15744",0,0,0,0,3.71408042982029,0,2.3275002152263,5.19331707682929,0,0,0,0
"gene15746",100.087655210258,166.048355077096,135.845172220779,87.8585135777094,65.4115530373849,71.3733233043611,74.1841883545489,76.5723456121821,0,183.441602597038,17.5784470730964,0
"gene15747",0,38.5908178548436,40.105888125215,0,149.428192001799,146.26968861857,149.400856511878,157.780043668613,0,0,0,0
"gene15748",82.5856609690208,181.213877250952,0,0,57.3664839781112,69.0502363828844,82.5514267023502,69.7287656870954,0,0,0.284478568695257,0
"gene15749",11.5706731815662,10.8197409756315,0,3.85442031592754,30.6389867601442,39.9478940317069,44.9818236437554,40.029156679916,20.2531892224295,23.0500577579494,10.293396462704,69.6716869591163
"gene15750",99.243260590309,88.6951744121328,36.1659614185445,13.8483053022337,97.1895489075049,104.57990911473,82.9223269115156,110.290110824054,0,0,11.9879711862637,1.38449938274801
"gene15751",37.564325026666,0.866402058556394,26.3926785168234,20.0750059483951,34.3475702559413,59.7556835836211,44.4340950179567,60.7368152247361,0.439520149149849,0,49.0957083322675,0
"gene15753",341.508562323425,458.746305304344,396.133362324052,418.044317637027,370.660884693587,363.076650545874,365.584889681837,331.167947310892,219.417034458515,291.625680693841,434.114295828962,481.38609374579
"gene15754",9.40748966887967,0,19.7762169322099,11.4906772221672,10.3499487045217,9.21648253055021,9.34292165602865,5.4625105653778,0,0,13.973249299972,0
"gene15755",1.69670795813723,0.522714507266805,2.47693193223363,1.88402337571248,1.94446580944325,4.53343215382583,1.91484392706756,3.51858142285177,0,0,14.7010227010122,3.17516567625119
"gene15756",122.606727374932,7.43058776483888,154.072787513954,44.2310718667268,115.758536864948,101.548880245698,99.6425861371277,104.128357307656,0,0,59.2153082222587,34.5360328170706
"gene15757",322.650302032201,342.16189767548,387.794765045448,385.485828788888,293.964753325866,264.936124551498,259.173787216946,240.069204867704,146.920869645144,307.990966955888,426.154927253241,667.256018014172
"gene15758",23.8189906232743,3.68907553621722,9.34855186258917,37.9385529081827,25.5369624771155,30.7776571977545,32.8450818043413,42.1072976849768,0,56.2759848764171,0,53.0992090077733
"gene15759",0,0,0,0.0817448158883511,1.41737094539582,2.09811736044832,1.8610383952326,1.28239207229556,0,0.242050574426031,0.19881172698589,0
"gene15760",58.2817351322126,53.8655606278915,110.24754483687,169.76556206204,0,12.9769087427009,0,3.06412965376638,0,0,0,32.6431719631872
"gene15762",587.545727217805,651.152929052362,629.56532769001,679.325000042613,560.006153119656,546.602391118428,540.970764309829,536.432870638202,0,580.183700681367,802.528556502008,849.130020848889
"gene15763",0,108.427690927486,0,203.519116846195,72.6792995567522,49.5726782264505,55.0749902999407,71.3543328544236,0,0,134.373199427434,0
"gene15766",11.0056732419712,0,0,0,5.58324452960138,6.07724958999354,3.90835171276059,4.44292227231445,0,0,2.5759040127572,34.6007243422832
"gene15770",225.701616756859,175.04857917772,312.992031325224,14.7216710288231,192.456894999779,194.83215395977,223.155020635371,210.263879631626,0,0,289.420556853753,0
"gene15771",17.2844494152684,133.092890943789,11.1764871071722,20.8191360078731,28.0226899962354,33.2234260481816,38.4401474394915,24.21999068622,0,0,1.18674050394044,32.8938026892209
"gene15772",24.4770984124715,28.5179324620316,27.6766689345974,83.2676560806694,69.5672488939173,73.9221942459906,65.9961946273251,82.7847222635552,0,22.3147577185141,58.7414933047896,0.208207585327947
"gene15773",9.50156456556845,51.898486862036,37.9885488417525,50.4714586488164,42.1434059975333,40.7872754740606,55.6443294698119,76.8990724804017,0,0,0.231170872939749,0
"gene15774",0,0,0,0,0,0,0,0.336821469537948,0,0,0,0
"gene15775",0,28.8538408011276,0,0,0.725933902192147,0,0,5.81738795244827,0,0,0,0
"gene15777",89.9255217812728,43.9080186104116,138.991266140196,114.11798732887,69.7785444760207,63.2521724319508,59.3054519126066,59.9164150862759,0,0,183.612773326927,383.287856633179
"gene15778",32.2969848171735,10.0141095076377,3.89356317768654,0.231371291754164,25.5032041954346,28.1152327434637,29.4415652224913,33.0993571742653,0.455905768745348,0,0,0
"gene15779",18.5595671489605,45.7420144737457,38.9882474954829,18.0162628458795,16.2666269975243,18.7129386202147,13.3841474292918,18.0096039805524,0,0,0,0
"gene15780",0,0,37.2549570239072,0,12.5341105414471,33.0784721823519,23.0405776701539,42.9047549614309,0,0,0,0
"gene15781",0.252030890333381,0,0,0,0,2.02020318791177,7.73657896474616,8.36246407128697,0,0,0,0
"gene15782",228.402994364626,320.866289845315,371.311149964376,284.05275510742,189.301225263952,198.541079967552,151.773475573108,172.789413872967,1175.39521117454,0,257.833321217752,598.39660821657
"gene15783",257.597972666523,426.070402812141,393.931254502436,240.317648368658,235.202584310256,203.567894196238,199.688435132058,186.969597740515,0,0,224.524710342732,500.829466000687
"gene15784",0,0,0,8.49137296095765,4.20661899057019,0.510809256769108,2.07126779716604,0,0,0,0,0
